timestamp,username,action,entity_type,entity_id,description
2025-06-11T16:57:41.703217,creator1,logout,User,89f2b78a-ac73-4e24-9071-38049557b8b8,User logged out.
2025-06-11T16:57:51.202291,approver,login,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged in successfully.
2025-06-11T16:57:59.449112,approver,updated,policy,a3d27f36-7b5a-4649-a2a7-3c3a75047787,Policy '' updated.
2025-06-11T16:57:59.449807,approver,approve_and_enable,Policy,a3d27f36-7b5a-4649-a2a7-3c3a75047787,"Policy ""Test Policy"" was approved and enabled."
2025-06-11T16:58:13.547192,approver,updated,policy,3bcc73c0-ecd9-4a5c-b229-0a08c270648f,Policy '' updated.
2025-06-11T16:58:21.388323,approver,updated,policy,cb386491-20f7-4e9d-860a-381c43f8e607,Policy '' updated.
2025-06-11T16:58:21.389059,approver,approve_and_enable,Policy,cb386491-20f7-4e9d-860a-381c43f8e607,"Policy ""Test Policy 2"" was approved and enabled."
2025-06-11T16:58:23.589983,approver,updated,policy,a51a2745-7883-4709-8fc9-e3328311fa2e,Policy '' updated.
2025-06-11T16:58:23.595699,approver,approve_and_enable,Policy,a51a2745-7883-4709-8fc9-e3328311fa2e,"Policy ""Test Policy 3"" was approved and enabled."
2025-06-11T16:58:24.438368,approver,updated,policy,a51a2745-7883-4709-8fc9-e3328311fa2e,Policy '' updated.
2025-06-11T16:58:28.289692,approver,updated,policy,b39f272c-0389-478b-8727-27288e407eec,Policy '' updated.
2025-06-11T16:58:28.290305,approver,approve_and_enable,Policy,b39f272c-0389-478b-8727-27288e407eec,"Policy ""Test Policy 4"" was approved and enabled."
2025-06-11T16:58:49.307672,approver,logout,User,f59f542d-07c4-4b31-8a7f-bcbbdec99aa7,User logged out.
2025-06-11T16:58:57.285676,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T17:13:12.754964,admin,created,policy,d178bfe4-2ea7-4851-aee6-6300bacf6366,Policy 'Test Policy' created as draft.
2025-06-11T17:13:49.538700,admin,logout,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged out.
2025-06-11T17:13:56.684385,creator,login,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged in successfully.
2025-06-11T17:14:15.071865,creator,created,policy,dc3f2757-a23d-4005-a67a-493c2fbaccfc,Policy 'Test Policy' created as draft.
2025-06-11T17:14:34.992828,creator,logout,User,d61c1edd-ce76-448d-9a76-2ab54acbb974,User logged out.
2025-06-11T17:14:40.655613,admin,login_failed,User,N/A,Failed login attempt.
2025-06-11T17:14:46.333383,admin,login,User,dcd29fae-dc93-4c09-983d-6399d495216c,User logged in successfully.
2025-06-11T17:15:36.195004,admin,add,User,cce4339e-834f-451c-b66a-3f922d147b52,"User ""creator2"" added."
2025-06-11T17:17:20.309464,admin,updated,policy,a3d27f36-7b5a-4649-a2a7-3c3a75047787,Policy '' updated.
2025-06-11T17:17:25.007140,admin,updated,policy,a3d27f36-7b5a-4649-a2a7-3c3a75047787,Policy '' updated.
2025-06-11T17:17:29.941933,admin,updated,policy,dc3f2757-a23d-4005-a67a-493c2fbaccfc,Policy '' updated.
2025-06-11T17:17:29.942683,admin,approve_and_enable,Policy,dc3f2757-a23d-4005-a67a-493c2fbaccfc,"Policy ""Test Policy"" was approved and enabled."
